NRO_REGISTRO,FECHA_CORTE,DEPARTAMENTO,PROVINCIA,DISTRITO,GOBIERNO_LOCAL,UBIGEO,DIA_RECORRIDO,MES_RECORRIDO,SEMANA_RECORRIDO,DIA_SEMANA_RECORRIDO,TURNO,UNIDAD,CONDUCTOR,PLACA,NRO_BOLETA,UNIDAD,CANTIDAD,RELLENO_SANITARIO
19,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240103,202401,1,MIÃ‰RCOLES,NOCHE,2,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BNU745,1917461,TONELADAS,12.03,MODELO DEL CALLAO
20,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240103,202401,1,MIÃ‰RCOLES,NOCHE,3,510a977bc0ea4b2bbab5fdf31dcd0e09b5d47340516946643ea135680f271982,BTQ941,1917463,TONELADAS,12.69,MODELO DEL CALLAO
21,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240103,202401,1,MIÃ‰RCOLES,NOCHE,4,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BTR863,1917454,TONELADAS,11.33,MODELO DEL CALLAO
22,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240103,202401,1,MIÃ‰RCOLES,NOCHE,5,e483237fd6bd1ccc9c6a16e357f6e13a5879f4096a338cd91b602372532b4c01,BFZ705,1917471,TONELADAS,13.13,MODELO DEL CALLAO
23,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240103,202401,1,MIÃ‰RCOLES,NOCHE,6,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BCP798,1917470,TONELADAS,11.44,MODELO DEL CALLAO
24,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240104,202401,1,JUEVES,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BCP798,1917635,TONELADAS,8.94,MODELO DEL CALLAO
25,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240104,202401,1,JUEVES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1917779,TONELADAS,12.31,MODELO DEL CALLAO
26,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240104,202401,1,JUEVES,NOCHE,1,4a7cd82be137fde40100cb970bc6a44aafeb3fd1a0de5eecc9d07289ae6e15be,BHH850,1917841,TONELADAS,12.13,MODELO DEL CALLAO
27,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240104,202401,1,JUEVES,NOCHE,2,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BNU745,1917834,TONELADAS,11.64,MODELO DEL CALLAO
28,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240104,202401,1,JUEVES,NOCHE,3,510a977bc0ea4b2bbab5fdf31dcd0e09b5d47340516946643ea135680f271982,BTQ941,1917822,TONELADAS,10.93,MODELO DEL CALLAO
29,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240104,202401,1,JUEVES,NOCHE,4,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BFS820,1917858,TONELADAS,11.09,MODELO DEL CALLAO
30,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240104,202401,1,JUEVES,NOCHE,5,e483237fd6bd1ccc9c6a16e357f6e13a5879f4096a338cd91b602372532b4c01,BFZ705,1917837,TONELADAS,13.47,MODELO DEL CALLAO
31,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240104,202401,1,JUEVES,NOCHE,6,c49a5be102d6ccfb90a2b5c6e191a78c51226a95e0d36ff6291d4d75c1821786,BCP798,1917881,TONELADAS,11.12,MODELO DEL CALLAO
32,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240105,202401,1,VIERNES,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BNU745,1918052,TONELADAS,11.74,MODELO DEL CALLAO
33,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240105,202401,1,VIERNES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1918165,TONELADAS,12.13,MODELO DEL CALLAO
34,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240105,202401,1,VIERNES,NOCHE,1,c49a5be102d6ccfb90a2b5c6e191a78c51226a95e0d36ff6291d4d75c1821786,BCP798,1918261,TONELADAS,12.52,MODELO DEL CALLAO
35,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240105,202401,1,VIERNES,NOCHE,2,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1918240,TONELADAS,11.23,MODELO DEL CALLAO
36,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240105,202401,1,VIERNES,NOCHE,3,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BTQ941,1918212,TONELADAS,10.68,MODELO DEL CALLAO
37,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240105,202401,1,VIERNES,NOCHE,4,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BTR863,1918218,TONELADAS,10.82,MODELO DEL CALLAO
38,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240105,202401,1,VIERNES,NOCHE,5,e483237fd6bd1ccc9c6a16e357f6e13a5879f4096a338cd91b602372532b4c01,BFZ705,1918247,TONELADAS,13.24,MODELO DEL CALLAO
39,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240105,202401,1,VIERNES,NOCHE,6,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BNU745,1918210,TONELADAS,10.77,MODELO DEL CALLAO
40,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240106,202401,1,SÃBADO,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BNU745,1918423,TONELADAS,11.72,MODELO DEL CALLAO
41,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240106,202401,1,SÃBADO,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1918557,TONELADAS,12.67,MODELO DEL CALLAO
42,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240106,202401,1,SÃBADO,NOCHE,1,4a7cd82be137fde40100cb970bc6a44aafeb3fd1a0de5eecc9d07289ae6e15be,BHH850,1918614,TONELADAS,13.29,MODELO DEL CALLAO
43,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240106,202401,1,SÃBADO,NOCHE,2,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1918625,TONELADAS,10.87,MODELO DEL CALLAO
44,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240106,202401,1,SÃBADO,NOCHE,3,c49a5be102d6ccfb90a2b5c6e191a78c51226a95e0d36ff6291d4d75c1821786,BCP798,1918645,TONELADAS,10.05,MODELO DEL CALLAO
45,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240106,202401,1,SÃBADO,NOCHE,4,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BFZ705,1918616,TONELADAS,13.13,MODELO DEL CALLAO
46,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240106,202401,1,SÃBADO,NOCHE,5,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BTQ941,1918605,TONELADAS,13.1,MODELO DEL CALLAO
47,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240106,202401,1,SÃBADO,NOCHE,6,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BNU745,1918600,TONELADAS,12.17,MODELO DEL CALLAO
48,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240107,202401,2,DOMINGO,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BNU745,1918747,TONELADAS,6.16,MODELO DEL CALLAO
49,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240107,202401,2,DOMINGO,TARDE,1,d71576720aa7e385959ae11043c5574001a8cb5c62fea513636f2fcc08cdcc2d,BHH852,1918831,TONELADAS,7.97,MODELO DEL CALLAO
50,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240107,202401,2,DOMINGO,NOCHE,1,4a7cd82be137fde40100cb970bc6a44aafeb3fd1a0de5eecc9d07289ae6e15be,BHH850,1918876,TONELADAS,12.72,MODELO DEL CALLAO
51,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240107,202401,2,DOMINGO,NOCHE,2,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BTQ941,1918888,TONELADAS,13.8,MODELO DEL CALLAO
52,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240107,202401,2,DOMINGO,NOCHE,3,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BHH852,1918934,TONELADAS,9.25,MODELO DEL CALLAO
53,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240107,202401,2,DOMINGO,NOCHE,4,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BTQ941,1919547,TONELADAS,12.02,MODELO DEL CALLAO
54,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240107,202401,2,DOMINGO,NOCHE,5,e483237fd6bd1ccc9c6a16e357f6e13a5879f4096a338cd91b602372532b4c01,BFZ705,1918919,TONELADAS,14.08,MODELO DEL CALLAO
55,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240107,202401,2,DOMINGO,NOCHE,6,c49a5be102d6ccfb90a2b5c6e191a78c51226a95e0d36ff6291d4d75c1821786,BCP798,1918928,TONELADAS,11.07,MODELO DEL CALLAO
56,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240108,202401,2,LUNES,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BTQ941,1919089,TONELADAS,7.84,MODELO DEL CALLAO
57,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240108,202401,2,LUNES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1919191,TONELADAS,10.47,MODELO DEL CALLAO
58,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240108,202401,2,LUNES,NOCHE,1,4a7cd82be137fde40100cb970bc6a44aafeb3fd1a0de5eecc9d07289ae6e15be,BHH850,1919253,TONELADAS,12.78,MODELO DEL CALLAO
59,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240108,202401,2,LUNES,NOCHE,2,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1919254,TONELADAS,11.15,MODELO DEL CALLAO
