NRO_REGISTRO,FECHA_CORTE,DEPARTAMENTO,PROVINCIA,DISTRITO,GOBIERNO_LOCAL,UBIGEO,DIA_RECORRIDO,MES_RECORRIDO,SEMANA_RECORRIDO,DIA_SEMANA_RECORRIDO,TURNO,UNIDAD,CONDUCTOR,PLACA,NRO_BOLETA,UNIDAD,CANTIDAD,RELLENO_SANITARIO
334,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240211,202402,7,DOMINGO,NOCHE,6,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BCP798,1931714,TONELADAS,11.65,MODELO DEL CALLAO
335,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240212,202402,7,LUNES,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BFZ705,1931881,TONELADAS,8.49,MODELO DEL CALLAO
336,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240212,202402,7,LUNES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1932029,TONELADAS,13.43,MODELO DEL CALLAO
337,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240212,202402,7,LUNES,NOCHE,1,e67bbac3e13ad32ee100548e8702134090fe9f64875c33f5029e8bf82be825b8,BFZ705,1932069,TONELADAS,13.3,MODELO DEL CALLAO
338,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240212,202402,7,LUNES,NOCHE,2,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BUH880,1932067,TONELADAS,11.91,MODELO DEL CALLAO
339,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240212,202402,7,LUNES,NOCHE,3,510a977bc0ea4b2bbab5fdf31dcd0e09b5d47340516946643ea135680f271982,BNU789,1932077,TONELADAS,12.37,MODELO DEL CALLAO
340,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240212,202402,7,LUNES,NOCHE,4,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BTQ941,1932061,TONELADAS,11.19,MODELO DEL CALLAO
341,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240212,202402,7,LUNES,NOCHE,5,e7b868ea483adeffb3b56dc7e46a86e1a4996a78e95dd11e63a6b89cfdaa1795,BHH850,1932073,TONELADAS,14,MODELO DEL CALLAO
342,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240212,202402,7,LUNES,NOCHE,6,e234f369ef44da80a5cd99739585e885651bbdf0bb4cf7e33300714e4141b7bb,BCP798,1932112,TONELADAS,12.22,MODELO DEL CALLAO
343,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240213,202402,7,MARTES,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BFZ705,1932284,TONELADAS,8.97,MODELO DEL CALLAO
344,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240213,202402,7,MARTES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1932406,TONELADAS,11.44,MODELO DEL CALLAO
345,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240213,202402,7,MARTES,NOCHE,1,e67bbac3e13ad32ee100548e8702134090fe9f64875c33f5029e8bf82be825b8,BFZ705,1932442,TONELADAS,12.63,MODELO DEL CALLAO
346,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240213,202402,7,MARTES,NOCHE,2,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BUH880,1932447,TONELADAS,14.12,MODELO DEL CALLAO
347,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240213,202402,7,MARTES,NOCHE,3,510a977bc0ea4b2bbab5fdf31dcd0e09b5d47340516946643ea135680f271982,BNU789,1932453,TONELADAS,11.98,MODELO DEL CALLAO
348,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240213,202402,7,MARTES,NOCHE,4,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BTQ941,1932439,TONELADAS,11.55,MODELO DEL CALLAO
349,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240213,202402,7,MARTES,NOCHE,5,e7b868ea483adeffb3b56dc7e46a86e1a4996a78e95dd11e63a6b89cfdaa1795,BTQ936,1932454,TONELADAS,13.84,MODELO DEL CALLAO
350,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240213,202402,7,MARTES,NOCHE,6,e234f369ef44da80a5cd99739585e885651bbdf0bb4cf7e33300714e4141b7bb,BCP798,1932458,TONELADAS,11.3,MODELO DEL CALLAO
351,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240214,202402,7,MIÃ‰RCOLES,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BFZ705,1932643,TONELADAS,9.15,MODELO DEL CALLAO
352,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240214,202402,7,MIÃ‰RCOLES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1932783,TONELADAS,10.1,MODELO DEL CALLAO
353,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240214,202402,7,MIÃ‰RCOLES,NOCHE,1,e67bbac3e13ad32ee100548e8702134090fe9f64875c33f5029e8bf82be825b8,BFZ705,1932830,TONELADAS,12.3,MODELO DEL CALLAO
354,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240214,202402,7,MIÃ‰RCOLES,NOCHE,2,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BUH880,1932833,TONELADAS,11.21,MODELO DEL CALLAO
355,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240214,202402,7,MIÃ‰RCOLES,NOCHE,3,510a977bc0ea4b2bbab5fdf31dcd0e09b5d47340516946643ea135680f271982,BNU789,1932831,TONELADAS,11.3,MODELO DEL CALLAO
356,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240214,202402,7,MIÃ‰RCOLES,NOCHE,4,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BTQ941,1932835,TONELADAS,10.96,MODELO DEL CALLAO
357,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240214,202402,7,MIÃ‰RCOLES,NOCHE,5,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BHH850,1932842,TONELADAS,13.18,MODELO DEL CALLAO
358,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240214,202402,7,MIÃ‰RCOLES,NOCHE,6,e234f369ef44da80a5cd99739585e885651bbdf0bb4cf7e33300714e4141b7bb,BCP798,1932873,TONELADAS,12.91,MODELO DEL CALLAO
359,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240215,202402,7,JUEVES,MAÃ‘ANA,1,66d83cabf4f9da6b3b1683c632de10c984c7deb1246b55118d0f4118d2bf2c26,BFZ705,1933001,TONELADAS,8.17,MODELO DEL CALLAO
360,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240215,202402,7,JUEVES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1933146,TONELADAS,9.4,MODELO DEL CALLAO
361,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240215,202402,7,JUEVES,NOCHE,1,e67bbac3e13ad32ee100548e8702134090fe9f64875c33f5029e8bf82be825b8,BFZ705,1933196,TONELADAS,12.74,MODELO DEL CALLAO
362,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240215,202402,7,JUEVES,NOCHE,2,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BUH880,1933193,TONELADAS,11.11,MODELO DEL CALLAO
363,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240215,202402,7,JUEVES,NOCHE,3,510a977bc0ea4b2bbab5fdf31dcd0e09b5d47340516946643ea135680f271982,BNU789,1933195,TONELADAS,12.55,MODELO DEL CALLAO
364,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240215,202402,7,JUEVES,NOCHE,4,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BTQ941,1933197,TONELADAS,11.69,MODELO DEL CALLAO
365,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240215,202402,7,JUEVES,NOCHE,5,e7b868ea483adeffb3b56dc7e46a86e1a4996a78e95dd11e63a6b89cfdaa1795,BTS899,1933202,TONELADAS,13.72,MODELO DEL CALLAO
366,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240215,202402,7,JUEVES,NOCHE,6,e234f369ef44da80a5cd99739585e885651bbdf0bb4cf7e33300714e4141b7bb,BCP798,1933216,TONELADAS,11.83,MODELO DEL CALLAO
367,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240216,202402,7,VIERNES,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BFZ705,1933392,TONELADAS,9.16,MODELO DEL CALLAO
368,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240216,202402,7,VIERNES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1933541,TONELADAS,11.54,MODELO DEL CALLAO
369,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240216,202402,7,VIERNES,NOCHE,1,e67bbac3e13ad32ee100548e8702134090fe9f64875c33f5029e8bf82be825b8,BFZ705,1933579,TONELADAS,13.1,MODELO DEL CALLAO
370,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240216,202402,7,VIERNES,NOCHE,2,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BNU745,1933585,TONELADAS,11.43,MODELO DEL CALLAO
371,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240216,202402,7,VIERNES,NOCHE,3,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BNU789,1933593,TONELADAS,11.99,MODELO DEL CALLAO
372,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240216,202402,7,VIERNES,NOCHE,4,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BTQ941,1933581,TONELADAS,12.78,MODELO DEL CALLAO
373,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240216,202402,7,VIERNES,NOCHE,5,e7b868ea483adeffb3b56dc7e46a86e1a4996a78e95dd11e63a6b89cfdaa1795,BTS899,1933596,TONELADAS,14.62,MODELO DEL CALLAO
374,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240216,202402,7,VIERNES,NOCHE,6,e234f369ef44da80a5cd99739585e885651bbdf0bb4cf7e33300714e4141b7bb,BCP798,1933611,TONELADAS,11.29,MODELO DEL CALLAO
375,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240217,202402,7,SÃBADO,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BFZ705,1933773,TONELADAS,8.21,MODELO DEL CALLAO
376,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240217,202402,7,SÃBADO,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1933898,TONELADAS,12.18,MODELO DEL CALLAO
377,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240217,202402,7,SÃBADO,NOCHE,1,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BFZ705,1933937,TONELADAS,13.22,MODELO DEL CALLAO
378,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240217,202402,7,SÃBADO,NOCHE,2,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BNU745,1933935,TONELADAS,11.31,MODELO DEL CALLAO
379,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240217,202402,7,SÃBADO,NOCHE,3,510a977bc0ea4b2bbab5fdf31dcd0e09b5d47340516946643ea135680f271982,BNU789,1933939,TONELADAS,12.69,MODELO DEL CALLAO
380,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240217,202402,7,SÃBADO,NOCHE,4,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BHE909,1933938,TONELADAS,12.2,MODELO DEL CALLAO
381,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240217,202402,7,SÃBADO,NOCHE,5,e7b868ea483adeffb3b56dc7e46a86e1a4996a78e95dd11e63a6b89cfdaa1795,BTQ941,1933949,TONELADAS,14.89,MODELO DEL CALLAO
382,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240217,202402,7,SÃBADO,NOCHE,6,144371b4d85e9f069dd1220666156501f3a80e813ebf89265b5b425239c02ca9,BCP798,1933962,TONELADAS,12.19,MODELO DEL CALLAO
383,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240218,202402,8,DOMINGO,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BFZ705,1934067,TONELADAS,7.12,MODELO DEL CALLAO
384,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240218,202402,8,DOMINGO,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1934145,TONELADAS,6.21,MODELO DEL CALLAO
385,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240218,202402,8,DOMINGO,NOCHE,1,e67bbac3e13ad32ee100548e8702134090fe9f64875c33f5029e8bf82be825b8,BFZ705,1934200,TONELADAS,12.54,MODELO DEL CALLAO
386,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240218,202402,8,DOMINGO,NOCHE,2,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BNU745,1934201,TONELADAS,10.97,MODELO DEL CALLAO
387,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240218,202402,8,DOMINGO,NOCHE,3,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BNU789,1934196,TONELADAS,10.72,MODELO DEL CALLAO
388,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240218,202402,8,DOMINGO,NOCHE,4,66d83cabf4f9da6b3b1683c632de10c984c7deb1246b55118d0f4118d2bf2c26,BHE909,1934295,TONELADAS,11.48,MODELO DEL CALLAO
389,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240218,202402,8,DOMINGO,NOCHE,5,e7b868ea483adeffb3b56dc7e46a86e1a4996a78e95dd11e63a6b89cfdaa1795,BTQ941,1934217,TONELADAS,15.49,MODELO DEL CALLAO
390,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240218,202402,8,DOMINGO,NOCHE,6,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BHH852,1934259,TONELADAS,9.22,MODELO DEL CALLAO
391,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240219,202402,8,LUNES,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BFZ705,1934385,TONELADAS,9.58,MODELO DEL CALLAO
392,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240219,202402,8,LUNES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1934516,TONELADAS,9.33,MODELO DEL CALLAO
393,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240219,202402,8,LUNES,NOCHE,1,e67bbac3e13ad32ee100548e8702134090fe9f64875c33f5029e8bf82be825b8,BFZ705,1934573,TONELADAS,13.47,MODELO DEL CALLAO
394,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240219,202402,8,LUNES,NOCHE,2,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BNU745,1934576,TONELADAS,11.78,MODELO DEL CALLAO
395,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240219,202402,8,LUNES,NOCHE,3,510a977bc0ea4b2bbab5fdf31dcd0e09b5d47340516946643ea135680f271982,BNU789,1934577,TONELADAS,13.12,MODELO DEL CALLAO
396,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240219,202402,8,LUNES,NOCHE,4,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BHE909,1934572,TONELADAS,12.03,MODELO DEL CALLAO
397,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240219,202402,8,LUNES,NOCHE,5,e7b868ea483adeffb3b56dc7e46a86e1a4996a78e95dd11e63a6b89cfdaa1795,BTQ941,1934580,TONELADAS,15.04,MODELO DEL CALLAO
398,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240219,202402,8,LUNES,NOCHE,6,e234f369ef44da80a5cd99739585e885651bbdf0bb4cf7e33300714e4141b7bb,BCP798,1934622,TONELADAS,12.2,MODELO DEL CALLAO
399,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240220,202402,8,MARTES,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BNU745,1934753,TONELADAS,8.54,MODELO DEL CALLAO
400,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240220,202402,8,MARTES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1934908,TONELADAS,11.75,MODELO DEL CALLAO
401,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240220,202402,8,MARTES,NOCHE,1,e67bbac3e13ad32ee100548e8702134090fe9f64875c33f5029e8bf82be825b8,BFZ705,1934948,TONELADAS,12.55,MODELO DEL CALLAO
402,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240220,202402,8,MARTES,NOCHE,2,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BNU745,1934953,TONELADAS,12.09,MODELO DEL CALLAO
403,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240220,202402,8,MARTES,NOCHE,3,510a977bc0ea4b2bbab5fdf31dcd0e09b5d47340516946643ea135680f271982,BNU789,1934957,TONELADAS,12.19,MODELO DEL CALLAO
404,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240220,202402,8,MARTES,NOCHE,4,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BHE909,1934952,TONELADAS,10.31,MODELO DEL CALLAO
405,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240220,202402,8,MARTES,NOCHE,5,e7b868ea483adeffb3b56dc7e46a86e1a4996a78e95dd11e63a6b89cfdaa1795,BHH850,1934947,TONELADAS,12.5,MODELO DEL CALLAO
406,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240220,202402,8,MARTES,NOCHE,6,e234f369ef44da80a5cd99739585e885651bbdf0bb4cf7e33300714e4141b7bb,BCP798,1934972,TONELADAS,10.98,MODELO DEL CALLAO
407,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240221,202402,8,MIÃ‰RCOLES,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BFZ705,1935139,TONELADAS,9.27,MODELO DEL CALLAO
408,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240221,202402,8,MIÃ‰RCOLES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1935301,TONELADAS,11.25,MODELO DEL CALLAO
409,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240221,202402,8,MIÃ‰RCOLES,NOCHE,1,e67bbac3e13ad32ee100548e8702134090fe9f64875c33f5029e8bf82be825b8,BFZ705,1935350,TONELADAS,13.34,MODELO DEL CALLAO
410,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240221,202402,8,MIÃ‰RCOLES,NOCHE,2,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BNU745,1935352,TONELADAS,11.62,MODELO DEL CALLAO
411,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240221,202402,8,MIÃ‰RCOLES,NOCHE,3,510a977bc0ea4b2bbab5fdf31dcd0e09b5d47340516946643ea135680f271982,BNU789,1935364,TONELADAS,11.67,MODELO DEL CALLAO
412,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240221,202402,8,MIÃ‰RCOLES,NOCHE,4,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BHE909,1935347,TONELADAS,11.12,MODELO DEL CALLAO
413,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240221,202402,8,MIÃ‰RCOLES,NOCHE,5,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BHH850,1935349,TONELADAS,13.69,MODELO DEL CALLAO
414,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240221,202402,8,MIÃ‰RCOLES,NOCHE,6,e234f369ef44da80a5cd99739585e885651bbdf0bb4cf7e33300714e4141b7bb,BCP798,1935390,TONELADAS,11.57,MODELO DEL CALLAO
415,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240222,202402,8,JUEVES,MAÃ‘ANA,1,66d83cabf4f9da6b3b1683c632de10c984c7deb1246b55118d0f4118d2bf2c26,BHH850,1935528,TONELADAS,5.46,MODELO DEL CALLAO
416,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240222,202402,8,JUEVES,TARDE,1,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BNU745,1936006,TONELADAS,2.49,MODELO DEL CALLAO
